Network,Nodes,Edges,Efficiency,Robustness,Avg Criticality,Max Criticality
Delhi Metro,215,232,0.04691681812405359,0.06974853895859187,0.038643772126657386,0.16789296782860194
NYC Subway,445,868,0.08152834830823713,0.18104659445300902,0.028212105435901948,0.11812639024177626
Hong Kong Metro,98,111,0.07636223054023729,0.07040537044035722,0.05986997313212491,0.2815358939550754
