Network,Original_Efficiency,Original_Robustness,Original_Avg_Criticality,k2_Edges_Added,k2_Cost_M,k2_Efficiency,k2_Efficiency_Imp_%,k2_Robustness,k2_Robustness_Imp_%,k2_Avg_Criticality,k2_Criticality_Red_%,k2_Cost_Per_Eff_Gain_M,k3_Edges_Added,k3_Cost_M,k3_Efficiency,k3_Efficiency_Imp_%,k3_Robustness,k3_Robustness_Imp_%,k3_Avg_Criticality,k3_Criticality_Red_%,k3_Cost_Per_Eff_Gain_M
Delhi Metro,0.04691681812405359,0.06974853895859187,0.038643772126657386,11,2252.6237747207024,0.05006402122875155,6.7080489055681145,0.08927479945343701,27.995225113514476,0.036089195394835204,6.610578086035175,335.8090864321038,11,1275.5458775119032,0.04968809201897175,5.9067814181059415,0.08724662778396633,25.087391200785834,0.03622330982576473,6.263524929604282,215.94600971723744
NYC Subway,0.08152834830823713,0.18104659445300902,0.028212105435901948,592,106022.1501315348,0.0980983490730223,20.324219867840785,0.2623723301914791,44.91978210591435,0.02806901735342533,0.5071868273061566,5216.542175834985,577,90712.31807140689,0.09669184511706036,18.599048212646302,0.23089616877310687,27.534113232401282,0.028116524211840622,0.33879507603034775,4877.255923758918
Hong Kong Metro,0.07636223054023729,0.07040537044035722,0.05986997313212491,19,2851.52458018796,0.08621687156698112,12.905124636912163,0.06167432953339037,-12.401100729046249,0.05111779032696742,14.618651633336475,220.96063853826138,19,4307.938969250305,0.08721236520904514,14.20877126302725,0.10883235259665917,54.57961788419927,0.05362889684866701,10.424384640501996,303.18870572996167
